  PID TTY          TIME CMD
    1 ?        00:00:02 systemd
    2 ?        00:00:00 kthreadd
    4 ?        00:00:00 kworker/0:0H
    6 ?        00:00:00 ksoftirqd/0
    7 ?        00:00:20 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:02 rcuos/0
   10 ?        00:00:00 rcuob/0
   11 ?        00:00:00 migration/0
   12 ?        00:00:00 lru-add-drain
   13 ?        00:00:00 watchdog/0
   14 ?        00:00:00 cpuhp/0
   15 ?        00:00:00 cpuhp/1
   16 ?        00:00:00 watchdog/1
   17 ?        00:00:00 migration/1
   18 ?        00:00:00 ksoftirqd/1
   20 ?        00:00:00 kworker/1:0H
   21 ?        00:00:00 rcuos/1
   22 ?        00:00:00 rcuob/1
   23 ?        00:00:00 cpuhp/2
   24 ?        00:00:00 watchdog/2
   25 ?        00:00:00 migration/2
   26 ?        00:00:00 ksoftirqd/2
   28 ?        00:00:00 kworker/2:0H
   29 ?        00:00:20 rcuos/2
   30 ?        00:00:00 rcuob/2
   31 ?        00:00:00 cpuhp/3
   32 ?        00:00:00 watchdog/3
   33 ?        00:00:00 migration/3
   34 ?        00:00:00 ksoftirqd/3
   36 ?        00:00:00 kworker/3:0H
   37 ?        00:00:04 rcuos/3
   38 ?        00:00:00 rcuob/3
   39 ?        00:00:00 kdevtmpfs
   40 ?        00:00:00 netns
   41 ?        00:00:00 oom_reaper
   42 ?        00:00:00 writeback
   43 ?        00:00:00 kcompactd0
   44 ?        00:00:00 ksmd
   45 ?        00:00:00 khugepaged
   46 ?        00:00:00 crypto
   47 ?        00:00:00 kintegrityd
   48 ?        00:00:00 bioset
   49 ?        00:00:00 kblockd
   55 ?        00:00:00 ata_sff
   56 ?        00:00:00 md
   57 ?        00:00:00 devfreq_wq
   58 ?        00:00:00 watchdogd
   60 ?        00:00:00 kauditd
   61 ?        00:00:00 kswapd0
   62 ?        00:00:00 vmstat
   63 ?        00:00:00 bioset
  110 ?        00:00:00 kthrotld
  111 ?        00:00:00 acpi_thermal_pm
  112 ?        00:00:00 scsi_eh_0
  113 ?        00:00:00 scsi_tmf_0
  114 ?        00:00:00 scsi_eh_1
  115 ?        00:00:00 scsi_tmf_1
  118 ?        00:00:00 dm_bufio_cache
  119 ?        00:00:00 ipv6_addrconf
  169 ?        00:00:00 bioset
  170 ?        00:00:00 bioset
  344 ?        00:00:01 kworker/3:1H
  345 ?        00:00:00 kworker/0:1H
  346 ?        00:00:00 kworker/1:1H
  359 ?        00:00:01 jbd2/sda1-8
  360 ?        00:00:00 ext4-rsv-conver
  367 ?        00:00:00 kworker/2:1H
  406 ?        00:00:00 i915/signal:0
  407 ?        00:00:00 i915/signal:1
  408 ?        00:00:00 i915/signal:2
  409 ?        00:00:00 i915/signal:4
  464 ?        00:00:01 systemd-journal
  494 ?        00:00:00 systemd-udevd
  496 ?        00:00:00 rpciod
  497 ?        00:00:00 xprtiod
  531 ?        00:00:00 irq/127-mei_me
  532 ?        00:00:00 kmemstick
  564 ?        00:00:00 jbd2/sda2-8
  565 ?        00:00:00 jbd2/sda3-8
  566 ?        00:00:00 ext4-rsv-conver
  568 ?        00:00:00 ext4-rsv-conver
  614 ?        00:00:00 auditd
  616 ?        00:00:00 audispd
  617 ?        00:00:00 rpc.gssd
  622 ?        00:00:00 sedispatch
  645 ?        00:00:00 mcelog
  648 ?        00:00:00 rsyslogd
  649 ?        00:00:01 rtkit-daemon
  650 ?        00:26:05 avahi-daemon
  651 ?        00:00:02 dbus-daemon
  653 ?        00:00:00 chronyd
  656 ?        00:00:00 avahi-daemon
  666 ?        00:00:00 alsactl
  667 ?        00:00:00 sssd
  668 ?        00:00:00 ModemManager
  670 ?        00:00:00 smartd
  672 ?        00:00:16 irqbalance
  675 ?        00:00:01 rngd
  683 ?        00:00:05 gpm
  685 ?        00:00:00 NetworkManager
  691 ?        00:00:00 gssproxy
  719 ?        00:00:03 sssd_be
  720 ?        00:00:03 sssd_be
  728 ?        00:00:01 sssd_autofs
  729 ?        00:00:01 sssd_pam
  730 ?        00:00:02 sssd_nss
  732 ?        00:00:00 systemd-logind
  733 ?        00:00:00 accounts-daemon
  745 ?        00:00:00 polkitd
  767 ?        00:00:00 dhclient
  902 ?        00:00:00 cfg80211
 1272 ?        00:00:00 sshd
 1273 ?        00:00:07 docker-containe
 1274 ?        00:01:13 dockerd-current
 1298 ?        00:00:00 inotify.sh
 1322 ?        00:00:00 nfsiod
 1352 ?        00:00:00 NFSv4 callback
 1354 ?        00:00:00 NFSv4 callback
 1364 ?        00:00:00 bioset
 1367 ?        00:00:00 loop0
 1370 ?        00:00:00 bioset
 1371 ?        00:00:00 loop1
 1375 ?        00:00:00 kdmflush
 1378 ?        00:00:00 NFSv4 callback
 1382 ?        00:00:00 bioset
 1383 ?        00:00:00 kcopyd
 1384 ?        00:00:00 bioset
